Date,AAPL,ADBE,AMZN,CRM,GOOGL,INTC,META,MSFT,NVDA,ORCL
2023-09-05,187.50254821777344,564.8800048828125,137.27000427246094,216.0647430419922,134.65707397460938,36.10612487792969,298.0679016113281,327.23724365234375,48.51008224487305,120.51519775390625
2023-09-06,180.7912139892578,561.9400024414062,135.36000061035156,218.95957946777344,133.35780334472656,36.371681213378906,297.0947265625,326.5799865722656,47.028114318847656,120.85540771484375
2023-09-07,175.50315856933594,560.4600219726562,137.85000610351562,219.85867309570312,134.1512451171875,37.55194091796875,296.5982360839844,323.66619873046875,46.20868682861328,121.59416198730469
2023-09-08,176.115966796875,560.3599853515625,138.22999572753906,222.0618896484375,135.26210021972656,37.384735107421875,295.82354736328125,327.94366455078125,45.540157318115234,122.789794921875
2023-09-11,177.28231811523438,564.5,143.10000610351562,222.60528564453125,135.79763793945312,37.955196380615234,305.4264831542969,331.5442199707031,45.14643478393555,123.16888427734375
2023-09-12,174.25778198242188,542.2100219726562,141.22999572753906,218.99911499023438,134.23060607910156,38.22075653076172,299.56744384765625,325.4909362792969,44.83864212036133,106.5467758178711
2023-09-13,172.1919708251953,553.5599975585938,144.85000610351562,216.1734161376953,135.58938598632812,38.073219299316406,302.94384765625,329.69976806640625,45.453216552734375,108.71444702148438
2023-09-14,173.70423889160156,552.1599731445312,144.72000122070312,216.1536865234375,136.96795654296875,38.03387451171875,309.5576477050781,332.28985595703125,45.549156188964844,110.48359680175781
2023-09-15,172.9827117919922,528.8900146484375,140.38999938964844,212.03372192382812,136.273681640625,37.25687789916992,298.226806640625,323.9703369140625,43.869319915771484,110.72661590576172
2023-09-18,175.90841674804688,532.4199829101562,139.97999572753906,212.41903686523438,137.0770721435547,37.36506652832031,300.4512634277344,322.8322448730469,43.93527603149414,109.07411193847656
2023-09-19,176.9956817626953,541.6900024414062,137.6300048828125,213.11062622070312,136.90846252441406,35.74220657348633,302.9537658691406,322.4300537109375,43.48958969116211,109.61846923828125
2023-09-20,173.4571533203125,535.780029296875,135.2899932861328,210.4727020263672,132.64370727539062,34.11935043334961,297.59124755859375,314.6990966796875,42.2094841003418,109.71566772460938
2023-09-21,171.9152069091797,513.8800048828125,129.3300018310547,206.10577392578125,129.37075805664062,34.08000946044922,293.6785888671875,313.48260498046875,40.98833465576172,106.37181091308594
2023-09-22,172.76522827148438,512.9000244140625,129.1199951171875,203.95193481445312,129.1822967529297,33.61773681640625,297.00537109375,311.01031494140625,41.58092498779297,105.98297882080078
2023-09-25,174.040283203125,511.6000061035156,131.27000427246094,203.86300659179688,130.03526306152344,33.72593307495117,298.7431945800781,311.5302734375,42.19249725341797,105.27339935302734
2023-09-26,169.96803283691406,506.29998779296875,125.9800033569336,200.05923461914062,127.51609802246094,33.27349853515625,296.8861389160156,306.2324523925781,41.8817138671875,101.94895935058594
2023-09-27,168.45574951171875,502.6000061035156,125.9800033569336,200.2963409423828,129.46990966796875,34.04066848754883,295.6745910644531,306.8702087402344,42.43832015991211,101.69622802734375
2023-09-28,168.71273803710938,504.6700134277344,125.9800033569336,200.7606964111328,131.22543334960938,34.60129165649414,301.8514404296875,307.7041015625,43.05888748168945,103.18346405029297
2023-09-29,169.22674560546875,509.8999938964844,127.12000274658203,200.3457489013672,129.7873077392578,34.96520233154297,298.12744140625,309.7741394042969,43.468605041503906,102.95988464355469
2023-10-02,171.7373046875,521.1300048828125,129.4600067138672,201.2646026611328,133.07015991210938,34.876686096191406,304.691650390625,315.70965576171875,44.750701904296875,103.72782135009766
2023-10-03,170.40292358398438,507.0299987792969,124.72000122070312,197.43113708496094,131.3444366455078,35.10289764404297,298.8524475097656,307.4588623046875,43.48659133911133,101.59902954101562
2023-10-04,171.64833068847656,518.4199829101562,127.0,199.4466552734375,134.13140869140625,35.33895492553711,303.46026611328125,312.92340087890625,44.01021957397461,104.08747863769531
2023-10-05,172.8838653564453,516.4400024414062,125.95999908447266,199.5850067138672,133.96279907226562,35.29961013793945,302.6756896972656,313.31591796875,44.65677261352539,105.32198333740234
2023-10-06,175.43397521972656,526.6799926757812,127.95999908447266,204.8707733154297,136.45223999023438,35.59467315673828,313.24188232421875,321.0663146972656,45.73002243041992,106.88700103759766
2023-10-09,176.91659545898438,529.2899780273438,128.25999450683594,204.73245239257812,137.2853546142578,35.46681594848633,316.15155029296875,323.57794189453125,45.241355895996094,107.23694610595703
2023-10-10,176.3235626220703,532.719970703125,129.47999572753906,204.3965606689453,136.9282989501953,35.830726623535156,319.6073913574219,322.1749572753906,45.76599884033203,106.64397430419922
2023-10-11,177.7172088623047,549.9099731445312,131.8300018310547,204.3668975830078,139.3978729248047,36.27333068847656,325.54595947265625,326.1286315917969,46.773292541503906,106.9659423828125
2023-10-12,178.61668395996094,559.6300048828125,132.3300018310547,203.21092224121094,137.830810546875,36.23398208618164,321.9113464355469,324.8925476074219,46.91219711303711,106.44886779785156
2023-10-13,176.77821350097656,548.760009765625,129.7899932861328,202.13401794433594,136.23403930664062,35.378299713134766,312.507080078125,321.5274353027344,45.429229736328125,105.60982513427734
2023-10-16,176.6497344970703,550.739990234375,132.5500030517578,206.02670288085938,137.9597930908203,35.95859146118164,318.92218017578125,326.344482421875,46.06278991699219,106.0586166381836
2023-10-17,175.09791564941406,560.0900268554688,131.47000122070312,207.3209991455078,138.5746612548828,35.46681594848633,321.75244140625,325.7754821777344,43.90730285644531,106.38056182861328
2023-10-18,173.80307006835938,557.8699951171875,128.1300048828125,202.37112426757812,136.82908630371094,35.05372619628906,314.77117919921875,323.86236572265625,42.1665153503418,105.60982513427734
2023-10-19,173.427490234375,555.739990234375,128.39999389648438,205.81924438476562,136.620849609375,35.083229064941406,310.6400451660156,325.0494689941406,42.07158279418945,105.6976318359375
2023-10-20,170.8773956298828,540.9600219726562,125.16999816894531,201.28433227539062,134.4884490966797,34.34556579589844,306.5089111328125,320.4875183105469,41.35807800292969,99.36592864990234
2023-10-23,170.99598693847656,540.4099731445312,126.55999755859375,199.5751190185547,135.38107299804688,33.29316711425781,311.83172607421875,323.0873718261719,42.94497299194336,101.13178253173828
2023-10-24,171.430908203125,539.5599975585938,128.55999755859375,201.7684783935547,137.672119140625,34.02099609375,310.38189697265625,324.2743835449219,43.63248825073242,100.68299865722656
2023-10-25,169.1179962158203,521.1400146484375,121.38999938964844,194.6944122314453,124.58033752441406,32.289955139160156,297.4522399902344,334.2225341796875,41.74980545043945,98.9561767578125
2023-10-26,164.9567413330078,514.280029296875,119.56999969482422,193.89413452148438,121.27764129638672,31.985048294067383,286.3497619628906,321.6844482421875,40.297821044921875,97.9512939453125
2023-10-27,166.27134704589844,508.1199951171875,127.73999786376953,194.21029663085938,121.16854095458984,34.95536804199219,294.671630859375,323.5680236816406,40.471702575683594,98.52690124511719
2023-10-30,168.31741333007812,526.9400024414062,132.7100067138672,196.8778839111328,123.43976593017578,35.10289764404297,300.56048583984375,330.9261474609375,41.13223648071289,99.1707992553711
2023-10-31,168.79183959960938,532.0599975585938,133.08999633789062,198.4191436767578,123.06288146972656,35.89958190917969,299.18011474609375,331.71099853515625,40.75150680541992,100.87812805175781
2023-11-01,171.95477294921875,544.5,137.0,201.46218872070312,125.41345977783203,36.67658233642578,309.6867370605469,339.52032470703125,42.29542922973633,103.17080688476562
2023-11-02,175.5130615234375,558.7100219726562,138.07000732421875,205.61175537109375,126.44493865966797,37.079837799072266,308.71356201171875,341.7277526855469,43.4755973815918,104.26349639892578
2023-11-03,174.6037139892578,563.6599731445312,138.60000610351562,204.9794158935547,128.04173278808594,37.51259994506836,312.4176940917969,346.12298583984375,44.97355270385742,105.41471862792969
2023-11-06,177.15382385253906,565.4500122070312,139.74000549316406,204.93003845214844,129.1822967529297,37.44845962524414,313.60931396484375,349.7823791503906,45.71902847290039,106.44886779785156
